#[0]step() [1]time(s) [2]dL_dt(m^-2*s^-1) [3]chimin_beam_e() [4]chiave_beam_e() [5]chimax_beam_e() [6]x_ave_beam_e(m) [7]y_ave_beam_e(m) [8]x_std_beam_e(m) [9]y_std_beam_e(m) [10]thetax_ave_beam_e(rad) [11]thetay_ave_beam_e(rad) [12]thetax_std_beam_e(rad) [13]thetay_std_beam_e(rad) [14]thetax_min_beam_e(rad) [15]thetay_min_beam_e(rad) [16]thetax_max_beam_e(rad) [17]thetay_max_beam_e(rad) [18]chimin_beam_p() [19]chiave_beam_p() [20]chimax_beam_p() [21]x_ave_beam_p(m) [22]y_ave_beam_p(m) [23]x_std_beam_p(m) [24]y_std_beam_p(m) [25]thetax_ave_beam_p(rad) [26]thetay_ave_beam_p(rad) [27]thetax_std_beam_p(rad) [28]thetay_std_beam_p(rad) [29]thetax_min_beam_p(rad) [30]thetay_min_beam_p(rad) [31]thetax_max_beam_p(rad) [32]thetay_max_beam_p(rad)
30 1.50103842839168e-12 3.04600894777768e+40 1.22076497637209e-18 1.07407978055247e-07 1.43585705057265e-03 -1.61684007704206e-11 -8.25863254057086e-13 3.10441627459661e-07 7.69127114294685e-09 5.96967035895936e-03 5.78619657278011e-04 6.49723184587072e-01 3.14159239446626e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 9.48243153421913e-19 1.07431533823076e-07 1.41067520440448e-03 2.28183380294778e-11 -5.45103804082963e-13 3.10442429975771e-07 7.69062334274141e-09 3.06734814675177e-15 -2.00945431395338e-14 2.55066297761441e-10 7.19128768833037e-09 -1.24838146754398e-07 -2.70131163853792e-06 1.23500431092949e-07 2.72353850330150e-06
31 1.55107304267141e-12 4.44813778345808e+40 6.36846444335530e-19 1.57808026089593e-07 1.85182405158544e-03 -1.61684008462442e-11 -8.25863014157739e-13 3.10441678497887e-07 7.69126724764630e-09 5.75406373276895e-03 6.15054683833001e-04 6.46283371487336e-01 3.14159210082125e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.14095035552791e-19 1.57826638271233e-07 1.83955917790038e-03 2.28183381073727e-11 -5.45104292521816e-13 3.10442439675141e-07 7.69061952727213e-09 5.19308154076501e-15 -3.25625907442155e-14 3.57907937125462e-10 1.00442683484123e-08 -1.69211305340683e-07 -3.61042580175221e-06 1.65034072580670e-07 3.64629292733148e-06
32 1.60110765695113e-12 6.43542272302367e+40 1.36681817154952e-18 2.29491452590405e-07 2.31443239125536e-03 -1.61684009389066e-11 -8.25862727183431e-13 3.10441646015077e-07 7.69126302369166e-09 5.67082915160100e-03 5.37114462127282e-04 6.32973580430702e-01 3.14159212668454e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.76112190910833e-18 2.29503116178297e-07 2.33551483279531e-03 2.28183382083445e-11 -5.45104952951050e-13 3.10442494728839e-07 7.69061509968473e-09 6.73194475706159e-15 -4.40286163261422e-14 4.97648374683811e-10 1.38603707892270e-08 -2.24021146744242e-07 -4.78884056200415e-06 2.24505445926451e-07 4.82408198152206e-06
33 1.65114227123085e-12 9.22863755031117e+40 1.66365928517638e-18 3.30522438912830e-07 2.96546790228685e-03 -1.61684010831176e-11 -8.25862362116890e-13 3.10441723064991e-07 7.69125582884720e-09 5.43942092240858e-03 5.64500122553212e-04 6.39983163588730e-01 3.14159214889725e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.41058845341659e-19 3.30487076396535e-07 3.00929690164207e-03 2.28183383608899e-11 -5.45105891925387e-13 3.10442481684867e-07 7.69060842997922e-09 1.01686522486360e-14 -6.25982886289425e-14 6.85241796930677e-10 1.90064995429505e-08 -2.90971303151520e-07 -6.30368507477396e-06 2.87083527416813e-07 6.33152943063903e-06
34 1.70117688551058e-12 1.31224317521184e+41 1.11297161640448e-18 4.71675058517679e-07 3.69861904304115e-03 -1.61684012746383e-11 -8.25862202375677e-13 3.10441668468166e-07 7.69124547159851e-09 5.82182399701221e-03 4.75888037593317e-04 6.81037359094075e-01 3.14159197205445e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.67579112404022e-19 4.71609479142332e-07 3.68538242888167e-03 2.28183385738130e-11 -5.45106950469945e-13 3.10442471292725e-07 7.69059769909022e-09 1.41938872893155e-14 -7.05696372627480e-14 9.27344047909133e-10 2.57703264185438e-08 -3.80071022884171e-07 -8.25714590300764e-06 3.75529934294553e-07 8.24636042357791e-06
35 1.75121149979030e-12 1.85120128926337e+41 1.86109441824029e-18 6.67333043781552e-07 4.52499768573340e-03 -1.61684015524597e-11 -8.25862150234955e-13 3.10441655417853e-07 7.69123036974962e-09 5.41193300640118e-03 4.67083742515408e-04 7.34106309781238e-01 3.14159219592296e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 5.26906173274677e-19 6.67241752916939e-07 4.52708160875366e-03 2.28183388729537e-11 -5.45108352879577e-13 3.10442471642771e-07 7.69058264344869e-09 1.99451182087976e-14 -9.34939749654611e-14 1.23338142332301e-09 3.47363454067225e-08 -4.88414583926334e-07 -1.06497320020106e-05 4.84614950782791e-07 1.06318661834354e-05
36 1.80124611407002e-12 2.59178693311612e+41 1.41936617244349e-18 9.36429434353195e-07 5.49057958718774e-03 -1.61684019420245e-11 -8.25862093557429e-13 3.10441601571101e-07 7.69120800160968e-09 6.05077683672473e-03 5.18749312043344e-04 8.08086001569423e-01 3.14159195483196e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.25799539420150e-18 9.36284957098259e-07 5.56508687210180e-03 2.28183393049094e-11 -5.45110017513064e-13 3.10442449772811e-07 7.69056022778843e-09 2.87951799462403e-14 -1.10975566105658e-13 1.61801359664939e-09 4.63066748197825e-08 -6.13869848663689e-07 -1.34067771811699e-05 6.28863855993069e-07 1.34439716540346e-05
37 1.85128072834974e-12 3.60243977029579e+41 1.67709945930778e-19 1.30366087842487e-06 6.66947248261682e-03 -1.61684024859802e-11 -8.25862434633816e-13 3.10441603330038e-07 7.69117628703507e-09 5.34127948533126e-03 4.96695674874380e-04 8.81301580786300e-01 3.14159178535214e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 9.70043686370214e-19 1.30348765415342e-06 6.75320553124824e-03 2.28183398912099e-11 -5.45112002546238e-13 3.10442391074964e-07 7.69052833404886e-09 3.90850126444274e-14 -1.32335545063981e-13 2.09558835821525e-09 6.13973195879344e-08 -7.84844088825644e-07 -1.70416523869275e-05 8.06096222651315e-07 1.70682600946350e-05
38 1.90131534262947e-12 4.97255977279855e+41 1.40949161332956e-18 1.80107717523734e-06 7.95316286041640e-03 -1.61684032411246e-11 -8.25863938390728e-13 3.10441545503737e-07 7.69113070761280e-09 4.62079688021059e-03 6.28599477515886e-04 9.66959376000612e-01 3.14159173128985e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.96304262163718e-19 1.80088068449522e-06 7.93609264158579e-03 2.28183407484673e-11 -5.45113954877286e-13 3.10442393481962e-07 7.69048324453366e-09 5.71528312034970e-14 -1.30155403297526e-13 2.68832010167152e-09 8.05288838835912e-08 -9.99373523906003e-07 -2.12991850513364e-05 1.01455936596049e-06 2.13532290918939e-05
39 1.95134995690919e-12 6.81802101842693e+41 2.07593828912358e-18 2.46990974765107e-06 9.24463510011551e-03 -1.61684043190940e-11 -8.25866425731725e-13 3.10441518874848e-07 7.69106695763800e-09 3.73426234114952e-03 4.76709077649306e-04 1.05995811271701e+00 3.14159219805610e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.98962747334470e-19 2.46972061994856e-06 9.31810611303972e-03 2.28183419286140e-11 -5.45116306393730e-13 3.10442354798102e-07 7.69041921089276e-09 7.86756185722760e-14 -1.56767763229451e-13 3.42666674855177e-09 1.05066948367712e-07 -1.25095021563560e-06 -2.63858785229121e-05 1.26069107959514e-06 2.65092447909445e-05
40 2.00138457118891e-12 9.28848654759267e+41 7.05469193427349e-19 3.36286345787311e-06 1.07786550868721e-02 -1.61684058315814e-11 -8.25869598031158e-13 3.10441536691382e-07 7.69097765462460e-09 3.43761526803362e-03 4.09800329526615e-04 1.14537791765144e+00 3.14159236765080e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.50789734472288e-18 3.36256521517476e-06 1.07199650777340e-02 2.28183436153177e-11 -5.45119146580420e-13 3.10442355842753e-07 7.69032990162116e-09 1.12446345330918e-13 -1.89345778737483e-13 4.34623902217975e-09 1.35635393104669e-07 -1.56714374841668e-06 -3.21320503706287e-05 1.55038038672756e-06 3.23476287176069e-05
41 2.05141918546864e-12 1.25772801686502e+42 2.22190469986935e-18 4.54679509075462e-06 1.24636733334472e-02 -1.61684077867859e-11 -8.25874020040576e-13 3.10441508537184e-07 7.69085348773005e-09 2.29478864696015e-03 3.47002887887407e-04 1.24115077329720e+00 3.14159234043738e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.20266983625597e-18 4.54628437464649e-06 1.23536799781246e-02 2.28183457447207e-11 -5.45123433018795e-13 3.10442320475887e-07 7.69020563662098e-09 1.41962419364687e-13 -2.85762558452443e-13 5.48247900365365e-09 1.74161885453916e-07 -1.91863842975625e-06 -3.88284081675482e-05 1.89350884485606e-06 3.90155441528486e-05
42 2.10145379974836e-12 1.69298869593646e+42 1.21871621250572e-18 6.10616657462796e-06 1.38748629958788e-02 -1.61684102450974e-11 -8.25880414355518e-13 3.10441470469016e-07 7.69068275114353e-09 3.13833085083241e-03 6.47062130797529e-04 1.32249606428350e+00 3.14159189215674e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.10420235378644e-19 6.10564180386718e-06 1.39912866771306e-02 2.28183486631014e-11 -5.45127580775909e-13 3.10442328754023e-07 7.69003545704012e-09 1.94557600299400e-13 -2.76517141681923e-13 6.89379857913979e-09 2.21325931044887e-07 -2.27203087574944e-06 -4.65134690921798e-05 2.31446897680117e-06 4.65389905092148e-05
43 2.15148841402808e-12 2.26584258559172e+42 1.37587310750872e-18 8.14617460072903e-06 1.54629417004016e-02 -1.61684136827948e-11 -8.25890201422520e-13 3.10441490473178e-07 7.69045036180702e-09 9.63650872000092e-04 2.32901210689511e-04 1.40418215255938e+00 3.14159233497635e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.30760521963505e-18 8.14507502180982e-06 1.53662420280466e-02 2.28183525604677e-11 -5.45132653092115e-13 3.10442328630167e-07 7.68980264503136e-09 2.59826444603541e-13 -3.38154414356989e-13 8.62863635907946e-09 2.79742354515527e-07 -2.75069883686254e-06 -5.48722348344628e-05 2.76576984279959e-06 5.50089148084227e-05
44 2.20152302830781e-12 3.01552741976315e+42 1.46029579402061e-18 1.07971559418880e-05 1.71075165288339e-02 -1.61684176188113e-11 -8.25906712474746e-13 3.10441492103047e-07 7.69013567969306e-09 1.90198644310252e-03 5.54702838979175e-05 1.47267009840835e+00 3.14159200248643e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.02072243142704e-18 1.07967547904176e-05 1.70521735484143e-02 2.28183574737507e-11 -5.45133420038959e-13 3.10442291822909e-07 7.68948797144873e-09 3.27551159918498e-13 -5.11297895372942e-14 1.07594306500349e-08 3.50047265587125e-07 -3.27033160623452e-06 -6.37124901582646e-05 3.29559678251414e-06 6.40722846555338e-05
45 2.25155764258753e-12 3.99150567032504e+42 2.68986038481045e-18 1.42200703491735e-05 1.85587015372169e-02 -1.61684231683791e-11 -8.25929198537942e-13 3.10441514105252e-07 7.68971279866680e-09 5.19441376164845e-04 2.03497707318779e-04 1.52657245310628e+00 3.14159213477196e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.53988831981853e-18 1.42191966032050e-05 1.87068615967427e-02 2.28183640016715e-11 -5.45136141136070e-13 3.10442313586140e-07 7.68906510867900e-09 4.35194726104898e-13 -1.81406474873353e-13 1.33516372850748e-08 4.35633936062471e-07 -3.89656818902180e-06 -7.34639717737099e-05 3.84681568685328e-06 7.39162638615311e-05
46 2.30159225686725e-12 5.25537839808054e+42 2.31936649016215e-18 1.86125542787119e-05 2.01587866745680e-02 -1.61684307070274e-11 -8.25957425940473e-13 3.10441510785068e-07 7.68914932231361e-09 2.36618051452771e-03 -7.84357533910105e-05 1.56278292833753e+00 3.14159193576420e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.05017036417913e-18 1.86114532509261e-05 2.02257004339295e-02 2.28183732706818e-11 -5.45132679241616e-13 3.10442300507595e-07 7.68850149710726e-09 6.17934467246599e-13 2.30792962334458e-13 1.65149623846790e-08 5.36925531257957e-07 -4.55964607464081e-06 -8.39184540021170e-05 4.50591499094634e-06 8.44736030314551e-05
47 2.35162687114697e-12 6.88347736188684e+42 4.10332610698170e-18 2.42121611970776e-05 2.14807285651133e-02 -1.61684409595659e-11 -8.25994730967749e-13 3.10441513232460e-07 7.68840289563235e-09 -2.99470156052725e-04 1.45453333632770e-04 1.58194491011936e+00 3.14159193908965e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.27971675622165e-18 2.42116604439771e-05 2.14139999360290e-02 2.28183852544812e-11 -5.45131335626771e-13 3.10442342219397e-07 7.68775486172257e-09 7.98919064448377e-13 8.95743208297619e-14 2.03180229022734e-08 6.58197034734569e-07 -5.35870933379290e-06 -9.43141575639663e-05 5.29714157368227e-06 9.74022002868839e-05
48 2.40166148542670e-12 8.96944621109827e+42 3.81908242782038e-18 3.13106930728729e-05 2.31503040398955e-02 -1.61684551615211e-11 -8.26041672383078e-13 3.10441552034916e-07 7.68742336209492e-09 2.57170782742978e-03 7.56040884299150e-04 1.56816822502277e+00 3.14159223024454e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 8.04796236908251e-19 3.13101515748777e-05 2.30598366322438e-02 2.28184022544284e-11 -5.45118813857056e-13 3.10442340717148e-07 7.68677565968313e-09 1.13333015527668e-12 8.34784645496463e-13 2.48983814803471e-08 7.99507713023120e-07 -6.14294383599231e-06 -1.04275874270085e-04 6.12115272382077e-06 1.08894279008605e-04
49 2.45169609970642e-12 1.16281153224111e+43 6.22854328883114e-18 4.02571336179792e-05 2.42501555822303e-02 -1.61684716193001e-11 -8.26106508602669e-13 3.10441547173712e-07 7.68614449756060e-09 4.02019292988466e-04 2.57138378089966e-04 1.52624895165061e+00 3.14159203722810e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.40511772760243e-18 4.02571054567245e-05 2.44957080979332e-02 2.28184215079611e-11 -5.45107378220558e-13 3.10442355286277e-07 7.68549652893926e-09 1.28356878412694e-12 7.62375763240089e-13 3.03662859588342e-08 9.66176125844645e-07 -7.02907972305990e-06 -1.15382998570798e-04 7.09591861201823e-06 1.18345504390911e-04
50 2.50173071398614e-12 1.49985971606256e+43 2.25820533487719e-18 5.14643654318354e-05 2.56575739803525e-02 -1.61684910558923e-11 -8.26190906414919e-13 3.10441576275218e-07 7.68448944944447e-09 1.64234338541795e-03 7.04404239665227e-04 1.43520609379222e+00 3.14159226572584e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.73204808932890e-18 5.14666248957884e-05 2.55500015648216e-02 2.28184453333839e-11 -5.45082697111687e-13 3.10442378316497e-07 7.68384185315566e-09 1.58836065922148e-12 1.64540725526410e-12 3.68659483999107e-08 1.15775126448179e-06 -7.93697254281659e-06 -1.25800822536808e-04 8.04474143654648e-06 1.24812311664765e-04
51 2.55176532826587e-12 1.92504255568909e+43 6.26589813075319e-18 6.54240484646645e-05 2.69341023943853e-02 -1.61685162225045e-11 -8.26296828837199e-13 3.10441610860852e-07 7.68235684415031e-09 -2.60496664302400e-03 6.94724733659489e-04 1.29176542880672e+00 3.14159194446743e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.67355806945686e-18 6.54271947775804e-05 2.67202482882241e-02 2.28184748705110e-11 -5.45063610849083e-13 3.10442371391408e-07 7.68170931198626e-09 1.96914394819567e-12 1.27241750393813e-12 4.45222491800370e-08 1.38089689961661e-06 -8.94951036077005e-06 -1.34698088094158e-04 9.03564623933330e-06 1.36806901496872e-04
52 2.60179994254559e-12 2.45862789046363e+43 3.27453140656856e-18 8.27084717798036e-05 2.80287192062299e-02 -1.61685478092820e-11 -8.26418351252060e-13 3.10441556952873e-07 7.67963597707760e-09 -1.68394852942870e-03 5.81483402340709e-04 1.15266827721021e+00 3.14159198547821e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.68256382954908e-18 8.27161158209399e-05 2.78912415774928e-02 2.28185137307584e-11 -5.45021844016570e-13 3.10442405111789e-07 7.67898821122626e-09 2.59068298934002e-12 2.78445549886189e-12 5.35754736828394e-08 1.63460153154415e-06 -1.00564234483307e-05 -1.43850880685615e-04 1.01700579949489e-05 1.48803601808418e-04
53 2.65183455682531e-12 3.12497803325202e+43 2.10233423475920e-18 1.03978445037745e-04 3.25881014380090e-02 -1.61685898798993e-11 -8.26561444189727e-13 3.10441606758341e-07 7.67617703498705e-09 -6.05668368389847e-03 1.34271265901712e-03 1.03168361350199e+00 3.14159185253975e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 5.58860631678248e-18 1.03991383566723e-04 3.16700197901944e-02 2.28185630957153e-11 -5.44999850118099e-13 3.10442364457173e-07 7.67552967214132e-09 3.29099577886574e-12 1.46625989833519e-12 6.41430809381798e-08 1.92722963770025e-06 -1.12519349848131e-05 -1.54666912513185e-04 1.13137971378320e-05 1.55347167185327e-04
54 2.70186917110503e-12 3.95307948227959e+43 1.59840142759523e-17 1.30005933402124e-04 3.66117949444809e-02 -1.61686343353206e-11 -8.26769202208535e-13 3.10441516681810e-07 7.67181920315683e-09 -1.25211599366128e-03 1.80520856647884e-03 1.16394276624453e+00 3.14159136084212e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.69843353348802e-17 1.30026926295942e-04 3.60147862892248e-02 2.28186191450083e-11 -5.44949946082304e-13 3.10442318553545e-07 7.67117132255549e-09 3.73661786207751e-12 3.32693572521335e-12 7.64265864327675e-08 2.25712761228556e-06 -1.24405175949116e-05 -1.60842631992287e-04 1.26278751391197e-05 1.61212735645067e-04
55 2.75190378538476e-12 4.97761480998053e+43 5.64184393868912e-18 1.61672874346801e-04 4.03965529973501e-02 -1.61686925861324e-11 -8.27027037860876e-13 3.10441458796513e-07 7.66635207679492e-09 -5.67152877093218e-04 2.10602666161449e-03 1.33000139044924e+00 3.14159094119041e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.22454790829124e-18 1.61700583934203e-04 4.03557799429183e-02 2.28186889851141e-11 -5.44917503088120e-13 3.10442274006224e-07 7.66570393532180e-09 4.65601007234998e-12 2.16286628904929e-12 9.05156640957675e-08 2.63471525439343e-06 -1.36634112418892e-05 -1.70789770772655e-04 1.38480152168841e-05 1.68798507282668e-04
56 2.80193839966448e-12 6.23931799521105e+43 1.52432055786002e-17 1.99959757374049e-04 4.38261801191723e-02 -1.61687639678982e-11 -8.27313207847867e-13 3.10441348056903e-07 7.65955109805463e-09 5.20968620292429e-03 1.55734234564971e-03 1.48711582355635e+00 3.14159114288784e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.17016140618924e-17 1.99998495593656e-04 4.40920194759193e-02 2.28187814312028e-11 -5.44854170734060e-13 3.10442195217425e-07 7.65890253310265e-09 6.16307085437482e-12 4.22215695933118e-12 1.06728666757049e-07 3.05755971273376e-06 -1.49413351241416e-05 -1.76944867017994e-04 1.51280189725038e-05 1.78059796940979e-04
57 2.85197301394420e-12 7.78701182183091e+43 2.52419196859092e-17 2.45996161117972e-04 4.64517821509725e-02 -1.61688577810477e-11 -8.27614245032071e-13 3.10441278179747e-07 7.65112785255370e-09 1.92613480258430e-03 1.32603820328552e-03 1.60200262408838e+00 3.14159123194582e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.26002828851315e-17 2.46048885595879e-04 4.72896454058126e-02 2.28188963911035e-11 -5.44872606479022e-13 3.10442063858762e-07 7.65047842648044e-09 7.66399224331606e-12 -1.22904963014512e-12 1.25173902826819e-07 3.53842523898826e-06 -1.62052086704489e-05 -1.86670937189645e-04 1.63591881150258e-05 1.86376515415053e-04
58 2.90200762822393e-12 9.67770814705539e+43 8.30381451040753e-18 3.01012648337397e-04 4.92957945382218e-02 -1.61689647928225e-11 -8.27928065409990e-13 3.10441129478366e-07 7.64078243742416e-09 1.08265005260985e-03 1.21871285141969e-03 1.69881310881976e+00 3.14159125437634e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.21491169281653e-17 3.01071260491217e-04 4.96206328632185e-02 2.28190388284266e-11 -5.44949981712722e-13 3.10441975995993e-07 7.64013268888548e-09 9.49582339550465e-12 -5.15834885923135e-12 1.46241495107869e-07 4.07384699336537e-06 -1.74277268440013e-05 -1.93841619889483e-04 1.76609874383194e-05 1.93447353003588e-04
59 2.95204224250365e-12 1.19800174260288e+44 3.72120676453085e-17 3.66334098583330e-04 5.18114662110043e-02 -1.61691140150003e-11 -8.28155709731679e-13 3.10440989294779e-07 7.62813285305025e-09 -2.25061729937454e-03 1.00642897677068e-03 1.76271280434047e+00 3.14159072254187e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.70963551346370e-17 3.66423433192884e-04 5.23216564093466e-02 2.28192237185685e-11 -5.45264092147938e-13 3.10441824174912e-07 7.62748155867021e-09 1.23260075590424e-11 -2.09406956042491e-11 1.70059665341178e-07 4.67930349689679e-06 -1.86961522284269e-05 -2.02934781245009e-04 1.89292101163060e-05 1.99596962723461e-04
60 3.00207685678337e-12 1.47745540826956e+44 1.22980258780255e-17 4.43450481050448e-04 5.38101205356627e-02 -1.61692688528889e-11 -8.28301329120957e-13 3.10440867918865e-07 7.61279627064376e-09 -2.11506356033192e-03 1.54575988283432e-03 1.78815753527066e+00 3.14159048364166e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.99005577761792e-17 4.43563338346982e-04 5.48288975821663e-02 2.28194338254587e-11 -5.45837766426760e-13 3.10441685134977e-07 7.61214350487259e-09 1.40071272338015e-11 -3.82449518152710e-11 1.97185872323634e-07 5.35002768998291e-06 -1.99463845199787e-05 -2.07247995169610e-04 2.01813403755234e-05 2.05393865427814e-04
61 3.05211147106309e-12 1.81595964155848e+44 1.67404839015669e-18 5.33902250145724e-04 5.54762021789662e-02 -1.61694593482842e-11 -8.28240664228371e-13 3.10440666196552e-07 7.59428731310383e-09 -6.22250890915068e-03 4.27140989246815e-04 1.79920274006979e+00 3.14159061047802e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 7.73801600999553e-17 5.34030562771948e-04 5.67716821786295e-02 2.28196798846951e-11 -5.46853093970632e-13 3.10441477558928e-07 7.59363238279916e-09 1.64039509682980e-11 -6.76885027867207e-11 2.27633173582632e-07 6.10466572497698e-06 -2.11339044908055e-05 -2.15145339721101e-04 2.14102252340326e-05 2.13954729458655e-04
62 3.10214608534282e-12 2.22522250480400e+44 3.13390273951690e-17 6.39295014681216e-04 5.77283470436436e-02 -1.61696600239756e-11 -8.27936536023345e-13 3.10440418418235e-07 7.57214401003381e-09 -1.73845219234478e-03 6.95571082055115e-04 1.76999115291134e+00 3.14158992642001e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.49268753076559e-17 6.39460325010316e-04 5.87815934541846e-02 2.28199710699890e-11 -5.48325714666532e-13 3.10441273853199e-07 7.57148729281549e-09 1.94123510911362e-11 -9.81747128768860e-11 2.62182516098306e-07 6.93701451343631e-06 -2.21903953082450e-05 -2.20392988283816e-04 2.24701116349611e-05 2.18463165653881e-04
63 3.15218069962254e-12 2.71996042993890e+44 8.79184952867161e-17 7.61243463348562e-04 5.91726590590937e-02 -1.61698978691052e-11 -8.27335787559296e-13 3.10440178177802e-07 7.54578568913002e-09 -6.04673460019164e-03 8.63544748984217e-04 1.72909819104297e+00 3.14158963289509e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.37373501091465e-17 7.61432002495798e-04 5.97798067984499e-02 2.28202999579013e-11 -5.50476108464390e-13 3.10441013950065e-07 7.54512546777726e-09 2.19258606701108e-11 -1.43359586279883e-10 3.00716543609712e-07 7.86942863906650e-06 -2.32531730905451e-05 -2.26133082776499e-04 2.34830639871093e-05 2.27006473416702e-04
64 3.20221531390226e-12 3.31821068548085e+44 2.52908412233325e-17 9.01233653886101e-04 6.01184240820727e-02 -1.61701721997860e-11 -8.26229722752057e-13 3.10439864062344e-07 7.51469493957422e-09 -5.03605208694734e-03 3.92149999082212e-04 1.65841610439286e+00 3.14158947101015e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 6.09206639437561e-17 9.01509681527356e-04 6.09612130598840e-02 2.28207027268128e-11 -5.53379702271997e-13 3.10440659674152e-07 7.51403155059303e-09 2.68512617296491e-11 -1.93572920177530e-10 3.44034294736529e-07 8.89370773884163e-06 -2.42124027589576e-05 -2.33228294074547e-04 2.44131068876585e-05 2.33826526097862e-04
65 3.25224992818199e-12 4.04352334912263e+44 4.42524907026986e-17 1.06068722575436e-03 6.13546646245747e-02 -1.61704783760947e-11 -8.24537585712621e-13 3.10439505679427e-07 7.47823007767046e-09 -7.07829154689606e-03 1.44739461439128e-05 1.57488610843492e+00 3.14158886989845e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 7.92589643003158e-17 1.06096345524097e-03 6.18460244496728e-02 2.28211369651420e-11 -5.57478345725745e-13 3.10440301882271e-07 7.47756303962420e-09 2.89492217111337e-11 -2.73242896487240e-10 3.92214174455483e-07 1.00361479257718e-05 -2.51622613252994e-05 -2.35373289863084e-04 2.53849770152818e-05 2.39984993194776e-04
66 3.30228454246171e-12 4.92548035563201e+44 2.12659438481367e-17 1.24062820025628e-03 6.23762655612639e-02 -1.61707363159249e-11 -8.22037423030139e-13 3.10439040489139e-07 7.43588528887515e-09 -5.87775456880474e-03 2.07905856094528e-04 1.46368829803506e+00 3.14158827897654e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.79376274594110e-17 1.24077357343672e-03 6.26026355157868e-02 2.28215978289385e-11 -5.62929915648732e-13 3.10439829766320e-07 7.43521487149528e-09 3.07242530819319e-11 -3.63437994350653e-10 4.46180120745972e-07 1.12851719168911e-05 -2.59461278434553e-05 -2.42930108282782e-04 2.62648957993404e-05 2.44668072955298e-04
