#[0]step() [1]time(s) [2]dL_dt(m^-2*s^-1) [3]chimin_beam_e() [4]chiave_beam_e() [5]chimax_beam_e() [6]x_ave_beam_e(m) [7]y_ave_beam_e(m) [8]x_std_beam_e(m) [9]y_std_beam_e(m) [10]thetax_ave_beam_e(rad) [11]thetay_ave_beam_e(rad) [12]thetax_std_beam_e(rad) [13]thetay_std_beam_e(rad) [14]thetax_min_beam_e(rad) [15]thetay_min_beam_e(rad) [16]thetax_max_beam_e(rad) [17]thetay_max_beam_e(rad) [18]chimin_beam_p() [19]chiave_beam_p() [20]chimax_beam_p() [21]x_ave_beam_p(m) [22]y_ave_beam_p(m) [23]x_std_beam_p(m) [24]y_std_beam_p(m) [25]thetax_ave_beam_p(rad) [26]thetay_ave_beam_p(rad) [27]thetax_std_beam_p(rad) [28]thetay_std_beam_p(rad) [29]thetax_min_beam_p(rad) [30]thetay_min_beam_p(rad) [31]thetax_max_beam_p(rad) [32]thetay_max_beam_p(rad)
10 5.00346142797228e-13 0.00000000000000e+00 8.53244178439129e-20 1.40506783309378e-13 5.75279829622178e-13 -1.61684006356679e-11 -8.25863653637281e-13 3.10441627488573e-07 7.69127654298721e-09 6.00899358735590e-03 6.05236202346761e-04 5.94129712676236e-01 3.14159236975130e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.56631001483474e-19 1.40532201047422e-13 5.73906016822667e-13 2.28183378858348e-11 -5.45103035892930e-13 3.10934423713377e-07 7.69062874457599e-09 2.01596034333253e-21 -1.26360290713417e-19 3.41347966956024e-17 2.88259640626434e-15 -2.10590049105169e-16 -1.70876146503713e-14 2.09886687800500e-16 1.71942964093486e-14
11 5.50380757076951e-13 1.71065179380893e+27 1.34736171830434e-19 1.40504913501905e-13 5.75234806594990e-13 -1.61684006356508e-11 -8.25863653640063e-13 3.10441678543928e-07 7.69127576473588e-09 6.04813098897542e-03 6.02102057312526e-04 6.01675243427796e-01 3.14159213013753e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.64091803768120e-19 1.40533933920035e-13 5.72854682449190e-13 2.28183378858346e-11 -5.45103035895005e-13 3.10849091623008e-07 7.69062804720857e-09 1.95722307072446e-21 -1.38503530630612e-19 3.77387029386356e-17 3.18247878038591e-15 -2.32203270991409e-16 -1.88411233788280e-14 2.31503339166136e-16 1.89649028758799e-14
12 6.00415371356674e-13 1.23426623871929e+34 1.53875479177629e-19 1.44885519809097e-13 1.24049817058434e-07 -1.61684006356303e-11 -8.25863653643149e-13 3.10441646087875e-07 7.69127625552853e-09 5.99462725623215e-03 5.72975574141161e-04 5.94312506519754e-01 3.14159220071046e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.69666376844167e-19 1.44814019651100e-13 1.41464238743628e-07 2.28183378858185e-11 -5.45103035897261e-13 3.10773873926078e-07 7.69062833815751e-09 2.30810305014519e-21 -1.50412422143763e-19 4.13340284205667e-17 3.47524582758258e-15 -2.53846873068524e-16 -2.05790459198136e-14 2.52989321693019e-16 2.07050536937808e-14
13 6.50449985636396e-13 5.53948783688063e+35 2.34272854177155e-19 8.36177524301012e-13 2.69624600454709e-06 -1.61684006356141e-11 -8.25863653651922e-13 3.10441723178384e-07 7.69127613057586e-09 5.93828091825486e-03 6.25771150246461e-04 6.00334387987618e-01 3.14159223058545e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 4.49026939532670e-19 8.55559778419892e-13 2.79587647226774e-06 2.28183378858156e-11 -5.45103035894428e-13 3.10708904571768e-07 7.69062874324442e-09 6.97342757224365e-20 1.89405606746693e-19 2.00917787515361e-15 1.08657344121958e-14 -2.74097456794983e-11 -9.87415718174595e-11 2.60368343271557e-11 1.00281235447491e-10
14 7.00484599916119e-13 3.16167137102960e+36 6.11177248658313e-19 5.91455031115980e-12 5.70704569668852e-06 -1.61684006356280e-11 -8.25863653994035e-13 3.10441668646681e-07 7.69127622114578e-09 6.02031707736646e-03 5.89642598374025e-04 5.96177943108308e-01 3.14159200438736e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 5.07012647389247e-19 5.97036702158400e-12 5.76455899038853e-06 2.28183378858334e-11 -5.45103035612961e-13 3.10652279667924e-07 7.69062845414284e-09 4.36894582545315e-19 1.87635359918830e-17 4.55533711851340e-14 5.80507009605543e-13 -2.18842981661710e-10 -1.76258422623077e-09 2.27558411296583e-10 1.83866666309302e-09
15 7.50519214195842e-13 9.92903132055446e+36 4.51243928230536e-19 2.19733498950847e-11 9.21376868250795e-06 -1.61684006356985e-11 -8.25863655205770e-13 3.10441655698397e-07 7.69127644542241e-09 5.85410541117661e-03 5.75182211753120e-04 5.99784222600227e-01 3.14159216777953e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 9.30539726860486e-19 2.20758500039813e-11 9.11592260768443e-06 2.28183378858915e-11 -5.45103034560033e-13 3.10602927620236e-07 7.69062872271890e-09 3.19305618381972e-18 7.01950626892663e-17 1.89845093390256e-13 2.95403453481985e-12 -4.35631088512983e-10 -5.08196842778323e-09 4.20422467756736e-10 5.05827808581620e-09
16 8.00553828475565e-13 2.42732281762947e+37 7.62402678721451e-19 5.99308015175748e-11 1.36603131165377e-05 -1.61684006357615e-11 -8.25863657124698e-13 3.10441602005452e-07 7.69127626194923e-09 5.99291973922475e-03 5.92026933080428e-04 5.96702125514926e-01 3.14159200277130e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 7.36642347464935e-19 6.01603590900465e-11 1.38117559904945e-05 2.28183378859471e-11 -5.45103032999454e-13 3.10560497932323e-07 7.69062849034620e-09 5.00134631222780e-18 1.04038677073992e-16 4.64391047231838e-13 8.42897709584767e-12 -7.63898166648122e-10 -1.07205459427807e-08 7.43353138677959e-10 1.06782502647204e-08
17 8.50588442755287e-13 5.18482510105809e+37 9.76087316153280e-19 1.38348321570879e-10 2.04945268625424e-05 -1.61684006359099e-11 -8.25863660166873e-13 3.10441603988002e-07 7.69127645309155e-09 5.92044456782843e-03 5.82966191270262e-04 6.00543092672872e-01 3.14159170736687e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 3.91748780873698e-19 1.38637664683961e-10 2.04097674679391e-05 2.28183378860945e-11 -5.45103030711930e-13 3.10523712095593e-07 7.69062850269238e-09 1.08445585693460e-17 1.52502371072189e-16 9.42508998287564e-13 1.95051084392317e-11 -1.20741564251236e-09 -1.95426310994502e-08 1.23169398899430e-09 1.93032716274987e-08
18 9.00623057035010e-13 1.01668552465232e+38 4.57002839247306e-19 2.87205989568669e-10 2.99537048541894e-05 -1.61684006360799e-11 -8.25863664200647e-13 3.10441546490434e-07 7.69127619798616e-09 5.96772520805787e-03 6.05077877721183e-04 5.97413742925582e-01 3.14159172120176e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 1.32850324607835e-18 2.87767269166637e-10 2.97901476517561e-05 2.28183378862905e-11 -5.45103028328819e-13 3.10492382719815e-07 7.69062873198271e-09 1.22118895386318e-17 1.58873653977987e-16 1.71050416050135e-12 3.87517940747938e-11 -1.84949557065143e-09 -3.26176818085213e-08 1.92099656049014e-09 3.23067994119066e-08
19 9.50657671314733e-13 1.88082442412432e+38 8.39606108518082e-19 5.55141413368560e-10 4.39807173738363e-05 -1.61684006363595e-11 -8.25863668798549e-13 3.10441520333183e-07 7.69127645670397e-09 5.96750967791777e-03 5.87616362639583e-04 6.02201572228264e-01 3.14159213032137e+00 -3.14159265358979e+00 -3.14159265358979e+00 3.14159265358979e+00 3.14159265358979e+00 2.11884105729459e-19 5.56007493113333e-10 4.44480161029202e-05 2.28183378866547e-11 -5.45103026446515e-13 3.10465479397605e-07 7.69062870543574e-09 2.29208936862294e-17 1.25487447038781e-16 2.92024271781086e-12 7.14212447478199e-11 -2.89367868617741e-09 -5.18655528458198e-08 2.87590983500940e-09 5.15644128271176e-08
